蒸发量,降雨量,径流量,降雨量_log,径流量_log,蒸发量_std
58.0,145.3,3474.3,4.9856593080260785,8.153436085207844,-0.13009534950300358
74.6,49.2,1155.1,3.9160150266976834,7.052807550681276,0.3859640698281595
36.5,73.0,1045.9,4.30406509320417,6.953588695325309,-0.7984855612873416
36.5,5.9,976.7,1.9315214116032138,6.885202874511625,-0.7984855612873416
24.9,73.1,948.9,4.3054155323020415,6.856356715896137,-1.1591053964826123
26.9,162.9,4245.9,5.099256485749784,8.353944584003566,-1.0969295628282554
39.7,160.5,7363.8,5.084505142662711,8.904467173062978,-0.6990042274403703
76.8,176.9,8782.2,5.18122159467179,9.080596084920522,0.45435748684795235
74.2,127.8,2144.1,4.858260813670253,7.670941450322057,0.37352890309728837
54.9,333.6,11067.4,5.812935788552724,9.311849480477843,-0.22646789166725703
75.1,282.1,17409.6,5.6458001921178536,9.764834495120727,0.4015080282417488
97.4,170.5,8921.1,5.144583266605995,9.09628662387467,1.0947685734878299
67.8,139.8,1740.6,4.9473404437239425,7.462559509920338,0.17456623540334573
56.9,53.9,1766.4,4.005513348515485,7.477264819083904,-0.1642920580129
23.0,175.3,6262.3,5.172187089403825,8.742462481745463,-1.2181724384542516
25.6,102.2,5240.3,4.636668853047462,8.564324838148508,-1.1373438547035872
20.6,140.0,4360.0,4.948759890378168,8.380456667842767,-1.2927834388394799
35.8,25.0,2509.0,3.258096538021482,7.828038032125829,-0.8202471030663666
49.1,54.0,1859.0,4.007333185232471,7.528331766707247,-0.4067778092648923
49.2,290.3,13897.0,5.674353663965389,9.539500223874272,-0.40366901758217444
58.4,308.3,13615.0,5.734311679691024,9.519000850813155,-0.11766018277213224
59.9,267.6,14310.0,5.593223284089137,9.568783751310876,-0.07102830753136447
112.7,79.4,5828.0,4.387014176184921,8.67060073804555,1.5704137009436612
134.7,141.4,3130.0,4.958639998977875,8.049107721326406,2.254347871141588
72.6,351.9,10402.0,5.8661847306812245,9.249849505070895,0.3237882361738025
36.5,127.6,6922.0,4.856706811803519,8.842604480678025,-0.7984855612873416
31.9,82.3,3133.0,4.422448549172797,8.050065422915965,-0.9414899786923628
29.8,58.3,2401.0,4.08260930600368,7.784057002639929,-1.0067746040294374
24.9,62.3,3164.0,4.147885329150131,8.059908334578276,-1.1591053964826123
35.3,23.1,962.0,3.1822118404966093,6.870053411798126,-0.8357910614799559
41.0,176.2,5296.0,5.177279038170981,8.574895901544526,-0.6585899355650383
78.2,121.2,4956.0,4.805659046737495,8.508555998020574,0.4978805704060024
91.3,113.1,3315.4,4.73707525686803,8.106635136242064,0.9051322808420408
63.4,315.2,14537.2,5.756374924775372,9.584534947000442,0.037779401363760325
151.1,91.9,3801.0,4.531523645819793,8.243282523048375,2.7641897071073154
119.8,203.9,1511.7,5.322522055244854,7.321651412568154,1.7911379104166283
69.4,146.4,2092.8,4.993149979755236,7.646735875885255,0.22430690232683162
58.7,79.3,1920.7,4.385769620952716,7.560965489938382,-0.10833380772397855
39.6,102.1,1504.9,4.635699391022914,7.3171460050927735,-0.7021130191230882
29.6,45.5,1480.2,3.8394523125933104,7.300607849039458,-1.0129921873948733
19.2,134.5,3037.2,4.908971640319756,8.019020513773562,-1.33630652239753
23.3,54.3,3076.3,4.012772908528289,8.031807868132024,-1.2088460634060978
47.0,84.2,4844.0,4.44500143383527,8.485702524324866,-0.47206243460196723
72.5,120.7,4870.8,4.801558999993482,8.491218757644003,0.3206794444910848
77.8,172.3,5085.1,5.155024196721561,8.534266607605526,0.48544540367513084
91.8,192.5,6262.3,5.2652775124698366,8.742462481745463,0.92067623925563
124.5,144.9,11232.0,4.98292145552874,9.326611153641569,1.9372511195043676
107.2,193.5,5331.7,5.270432163058501,8.58161295550247,1.3994301583941793
85.6,85.8,2236.4,4.463606621666305,7.71306975641283,0.7279311549271231
70.8,16.9,692.4,2.884800712846709,6.541607033250923,0.26782998588488127
28.0,135.8,2277.8,4.918520005188451,7.731404267606241,-1.062732854318359
20.2,148.6,5647.0,5.007965065540377,8.639056779173078,-1.3052186055703514
20.0,92.3,5289.0,4.535820107853298,8.573573524852344,-1.311436188935787
11.9,239.8,10815.0,5.483966713434666,9.288781798282745,-1.563248315235933
38.9,124.7,6380.9,4.8338981155962015,8.76122113764617,-0.7238745609021132
55.6,79.0,2969.0,4.382026634673881,7.996317231796746,-0.20470634988823197
100.2,139.8,4908.3,4.9473404437239425,8.498886644433595,1.1818147406039297
80.6,173.9,6873.0,5.164214382024556,8.835501457409778,0.5724915707912306
92.3,211.0,11868.0,5.356586274672012,9.381685238056505,0.9362201976692193
121.9,274.0,9594.1,5.616771097666572,9.169007830482332,1.8564225357537034
95.6,63.0,4086.5,4.1588830833596715,8.315688815205508,1.0388103231989083
68.4,21.9,799.4,3.131136910560194,6.685111602709578,0.1932189854996531
46.7,24.1,554.0,3.2228678461377385,6.318968113746434,-0.4813888096501207
28.0,79.6,1015.0,4.389498649512583,6.923628628138427,-1.062732854318359
17.5,200.4,5855.5,5.305292980284462,8.675307434509929,-1.3891559810037333
26.9,90.7,3781.1,4.51852237926242,8.238034689905334,-1.0969295628282554
44.1,160.3,5801.1,5.083265985131163,8.665975199968878,-0.5622173934007849
76.0,49.1,2901.2,3.914021008090819,7.973224349056992,0.42948715338620963
78.7,178.2,3819.9,5.18850250054083,8.248241275945047,0.5134245288195917
57.5,306.7,12831.1,5.729125282327996,9.459705123093388,-0.14563930791659285
60.6,361.8,25465.1,5.893851718240982,10.145103434930038,-0.04926676575233942
130.6,26.9,1789.8,3.32862668882732,7.49041772636681,2.126887412150156
77.5,131.9,2772.0,4.8895969657192,7.927685045615778,0.4761190286269774
61.7,42.5,1060.8,3.7727609380946383,6.967720860149571,-0.01507005724244301
40.2,35.3,773.5,3.591817741270805,6.652217659856923,-0.683460269026781
29.4,18.2,703.6,2.954910279033736,6.557630265907138,-1.0192097707603092
31.8,14.9,624.0,2.766319109226186,6.437751649736401,-0.9445987703750806
28.7,67.9,986.0,4.232656178019613,6.894670039433482,-1.040971312539334
36.5,198.1,4730.0,5.293807211070151,8.461891875631148,-0.7984855612873416
59.9,48.8,2339.0,3.9080149840306073,7.757906208351747,-0.07102830753136447
79.8,195.1,6957.0,5.2786247332023,8.847647355711887,0.5476212373294879
73.6,325.6,15426.0,5.788736180536365,9.64387450001194,0.354876153000981
91.1,425.7,15568.0,6.056081190193955,9.653037036689675,0.898914697476605
89.2,280.9,13226.0,5.641552398120067,9.490015474026047,0.8398476555049661
91.0,66.3,3800.0,4.209160236650682,8.24301946898925,0.8958059057938873
64.3,76.9,1263.0,4.355425952876702,7.142036574706803,0.06575852650822095
39.9,37.0,781.0,3.6375861597263857,6.661854740545311,-0.6927866440749347
31.7,6.3,661.0,1.9878743481543455,6.495265555937008,-0.9477075620577985
18.5,127.8,2016.0,4.858260813670253,7.6093665379542115,-1.3580680641765548
19.4,137.7,5342.0,4.932313327320786,8.583542571957771,-1.3300889390320942
47.0,228.4,11059.0,5.435467204695271,9.311090275076326,-0.47206243460196723
69.2,148.1,6200.0,5.004617221770693,8.732465848349879,0.21808931896139583
75.8,123.0,3195.0,4.820281565605037,8.069655306886165,0.4232695700207738
85.1,195.9,6268.0,5.28269598564508,8.743372131273969,0.7123871965135339
150.1,83.2,1229.0,4.4331949212482815,7.114769448366463,2.733101790280137
151.9,91.9,1025.0,4.531523645819793,6.933423025730715,2.7890600405690584
85.7,60.6,540.0,4.120661870539474,6.293419278846481,0.7310399466098413
54.6,41.4,432.0,3.7471483622379123,6.07073772800249,-0.23579426671541048
29.6,92.1,848.0,4.533674184283021,6.744059186311348,-1.0129921873948733
22.2,52.4,1564.0,3.977810745966149,7.355641102974253,-1.2430427719159944
25.6,74.3,1496.0,4.321480134805848,7.311218384419629,-1.1373438547035872
23.0,83.3,2863.0,4.4343818650078095,7.9599745280805365,-1.2181724384542516
37.3,70.5,1622.0,4.269697449699962,7.392031567514591,-0.7736152278255989
58.9,75.6,1918.0,4.338597076746545,7.5595594960077,-0.10211622435854298
66.1,116.9,3434.0,4.769836807543325,8.14177220465645,0.12171677679714218
62.9,228.7,4283.0,5.436774109695053,8.36264243156764,0.02223544295017107
90.2,198.5,8030.0,5.295814236329918,8.991064332188461,0.8709355723321446
88.3,226.9,4193.0,5.4289069362516384,8.341410211461865,0.8118685303605052
62.3,158.8,5623.0,5.073923033332174,8.6347984334905,0.0035826928538639203
57.5,19.0,1028.0,2.995732273553991,6.9363427358340495,-0.14563930791659285
47.6,55.7,854.0,4.037774210733707,6.75110146893676,-0.45340968450566005
24.6,47.6,920.0,3.883623530906448,6.825460036255307,-1.168431771530766
21.2,66.3,931.0,4.209160236650682,6.837332814685591,-1.274130688743173
15.0,208.5,7425.0,5.344723739362192,8.912742634737025,-1.4668757730716797
38.0,64.3,4204.0,4.178992036282385,8.344029572407049,-0.7518536860465739
37.9,233.1,8989.0,5.455748374496865,9.103868127465667,-0.7549624777292917
