样本索引,实际径流量,预测径流量,残差
212,653.2000000000003,1689.3488603262467,-1036.1488603262464
213,3912.099999999997,3574.86190420008,337.2380957999171
214,1125.8000000000004,3901.593278639058,-2775.7932786390575
215,3092.2000000000007,4895.957403001162,-1803.757403001161
216,404.99999999999994,1148.3310405836437,-743.3310405836437
217,5647.000000000001,4544.011828888736,1102.9881711112648
218,1581.6000000000001,4445.9315866938,-2864.3315866938
219,4167.699999999999,3475.247441147805,692.4525588521938
220,5288.999999999996,2903.7875676383783,2385.212432361618
221,962.0000000000002,780.3098070136857,181.6901929863145
222,6196.000000000002,2721.1722510624736,3474.827748937528
223,5695.400000000002,5441.816667978228,253.58333202177437
224,799.4,698.6392746560165,100.7607253439835
225,859.4999999999999,479.7978727854137,379.7021272145862
226,853.9999999999998,1718.5971365002797,-864.5971365002799
227,820.3000000000002,1446.5569255323546,-626.2569255323544
228,1918.0,2238.857051330913,-320.8570513309128
229,4956.000000000001,3364.300697868807,1591.6993021311937
230,6811.8,5389.919755127562,1421.8802448724382
231,2496.500000000001,1374.8694334450117,1121.6305665549892
232,3617.0000000000023,1854.4192830626698,1762.5807169373325
233,619.0999999999998,1214.3606381626053,-595.2606381626055
234,4204.000000000002,2000.8336834463655,2203.1663165536365
235,9887.0,6091.861372780898,3795.138627219102
236,1314.3000000000006,693.532896955311,620.7671030446896
237,792.2999999999997,1533.7563153011235,-741.4563153011238
238,3145.2000000000025,2750.078520507236,395.1214794927664
239,3130.000000000001,3499.698661593609,-369.698661593608
240,3037.1999999999985,4144.242512384681,-1107.0425123846821
241,1336.8999999999996,892.0861259937559,444.81387400624374
242,1792.0000000000002,2052.467640654129,-260.4676406541287
243,5855.499999999995,6056.114766361895,-200.61476636189946
244,3164.599999999998,3811.949949711445,-647.3499497114467
245,15426.000000000004,8627.072543755632,6798.927456244372
246,6262.299999999998,5073.486228013621,1188.813771986377
247,539.9999999999998,1731.302220058106,-1191.3022200581063
248,888.9000000000003,3559.0594095460406,-2670.1594095460405
249,576.4999999999999,799.0009780985837,-222.5009780985838
250,15289.899999999998,7099.0665380180335,8190.833461981964
251,1408.0999999999995,2342.9008393712397,-934.8008393712403
252,1194.9999999999998,2746.760751646829,-1551.760751646829
253,1045.8999999999999,2259.439384515826,-1213.5393845158262
254,828.9999999999998,1795.5844094337233,-966.5844094337235
255,8989.000000000024,6724.021035636989,2264.9789643630347
256,1431.0000000000002,3317.055354806871,-1886.0553548068708
257,5688.300000000004,4254.8134011185575,1433.4865988814463
258,9690.299999999987,6130.6528879135685,3559.647112086418
259,1302.2999999999997,2766.2805320400357,-1463.980532040036
260,11867.99999999998,5527.616237795659,6340.383762204321
261,4507.799999999999,6502.540919871277,-1994.7409198712776
